Epoch No.,Training Accuracy,Testing Accuracy
1,0.0958,0.085
2,0.184,0.174
3,0.108,0.112
4,0.2272,0.189
5,0.3034,0.247
6,0.4546,0.429
7,0.3616,0.348
8,0.4244,0.396
9,0.5206,0.499
10,0.5488,0.542
11,0.562,0.559
12,0.5914,0.584
13,0.6092,0.578
14,0.6326,0.591
15,0.655,0.628
16,0.69,0.654
17,0.728,0.668
18,0.7232,0.686
19,0.7348,0.678
20,0.6944,0.662
21,0.7256,0.678
22,0.7536,0.689
23,0.7372,0.715
24,0.7934,0.751
25,0.7872,0.728
26,0.7982,0.759
27,0.8204,0.795
28,0.8172,0.774
29,0.84,0.797
30,0.841,0.794
31,0.86,0.809
32,0.86,0.819
33,0.871,0.832
34,0.8686,0.831
35,0.8848,0.851
36,0.8872,0.847
37,0.8946,0.863
38,0.894,0.858
39,0.903,0.868
40,0.9032,0.877
41,0.9088,0.881
42,0.914,0.885
43,0.9182,0.886
44,0.9172,0.892
45,0.924,0.891
46,0.9282,0.901
47,0.9278,0.9
48,0.9322,0.901
49,0.9362,0.899
50,0.9384,0.908
51,0.9424,0.911
52,0.9458,0.912
53,0.9452,0.907
54,0.9448,0.91
55,0.9504,0.917
56,0.9544,0.925
57,0.9554,0.924
58,0.956,0.925
59,0.9578,0.927
60,0.9602,0.932
61,0.961,0.934
62,0.9636,0.94
63,0.9628,0.936
64,0.9648,0.94
65,0.9662,0.939
66,0.9682,0.939
67,0.9688,0.941
68,0.9702,0.94
69,0.9718,0.94
70,0.9718,0.942
71,0.972,0.945
72,0.9736,0.946
73,0.9756,0.946
74,0.9756,0.953
75,0.9768,0.954
76,0.9776,0.951
77,0.979,0.96
78,0.98,0.958
79,0.9802,0.955
80,0.9826,0.958
81,0.9832,0.962
82,0.9836,0.956
83,0.9848,0.958
84,0.9848,0.96
85,0.9858,0.958
86,0.9862,0.96
87,0.9874,0.96
88,0.9884,0.958
89,0.9878,0.963
90,0.9902,0.962
91,0.9902,0.959
92,0.9896,0.965
93,0.9916,0.963
94,0.9918,0.967
95,0.9926,0.964
96,0.9932,0.963
97,0.9932,0.966
98,0.9934,0.968
99,0.9948,0.968
100,0.994,0.966
